# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
军,軍,jūn,"soldiers
troops",北边的黄军打好人，拿过得不好的人的东西，,北邊的黃軍打好人，拿過得不好的人的東西，,běi biān de huáng jūn dǎ hǎo rén ， ná guò de bù hǎo de rén de dōng xi ，,The yellow soldiers in the north fought good people and took things from people who had hard lives.
记得,記得,jì de,to remember,还让过得不好的人拿钱给他们，一点儿都不记得那些死了的人。,還讓過得不好的人拿錢給他們，一點兒都不記得那些死了的人。,hái ràng guò de bù hǎo de rén ná qián gěi tā men ， yì diǎn'r dōu bú jì de nà xiē sǐ le de rén 。,"They even made the people who had hard lives give money to them, and they didn’t remember the people who died at all."
官,官,guān,government official,在官员们心里，做更大的官是更重要的事。,在官員們心裡，做更大的官是更重要的事。,zài guān yuán men xīn li ， zuò gèng dà de guān shì gèng zhòng yào de shì 。,"In the minds of the officials, becoming a bigger official was the most important thing."
想到,想到,xiǎng dào,"to think of
to call to mind
to anticipate",想到这儿，刘备有点儿生气。,想到這兒，劉備有點兒生氣。,xiǎng dào zhè‘r ， liú bèi yǒu diǎn'r shēng qì 。,"Thinking about this, Liu Bei became a little angry."
官员,官員,guān yuán,official (in an organization or government),一些过得特别不好的人去官府，请官员帮忙，,一些過得特別不好的人去官府，請官員幫忙，,yì xiē guò de tè bié bù hǎo de rén qù guān fǔ ， qǐng guān yuán bāng máng ，,"Some people who were having an especially hard time went to the government to ask the officials for help, .."
官府,官府,guān fǔ,"local authorities
feudal official",一些过得特别不好的人去官府，请官员帮忙，,一些過得特別不好的人去官府，請官員幫忙，,yì xiē guò de tè bié bù hǎo de rén qù guān fǔ ， qǐng guān yuán bāng máng ，,"Some people who were having an especially hard time went to the government to ask the officials for help, .."
特别,特別,tè bié,"especially
particually",刘备知道为什么。去年冬天特别冷，,劉備知道為什麼。去年冬天特別冷，,liú bèi zhī dào wèi shén me 。 qù nián dōng tiān tè bié lěng ，,Liu Bei knew why. Last winter was particularly cold.
刘备,劉備,liú bèi,"Liu Bei (161-223), warlord at the end of the Han dynasty and founder of the Han kingdom of Shu",一个男人走在街上，他二十多岁，他姓刘，叫刘备。,一個男人走在街上，他二十多歲，他姓劉，叫劉備。,yí ge nán rén zǒu zài jiē shang ， tā èr shí duō suì ， tā xìng liú ， jiào liú bèi 。,"A man was walking in the street. He was in his twenties. His surname was Liu, and his name was Liu Bei."
刘,劉,liú,surname Liu,一个男人走在街上，他二十多岁，他姓刘，叫刘备。,一個男人走在街上，他二十多歲，他姓劉，叫劉備。,yí ge nán rén zǒu zài jiē shang ， tā èr shí duō suì ， tā xìng liú ， jiào liú bèi 。,"A man was walking in the street. He was in his twenties. His surname was Liu, and his name was Liu Bei."
街上,街上,jiē shang,"on the street
in town",一个男人走在街上，他二十多岁，他姓刘，叫刘备。,一個男人走在街上，他二十多歲，他姓劉，叫劉備。,yí ge nán rén zǒu zài jiē shang ， tā èr shí duō suì ， tā xìng liú ， jiào liú bèi 。,"A man was walking in the street. He was in his twenties. His surname was Liu, and his name was Liu Bei."
奇怪,奇怪,qí guài,"strange
odd",一定会觉得刚才的事情很奇怪。,一定會覺得剛才的事情很奇怪。,yí dìng huì jué de gāng cái de shì qing hěn qí guài 。,.. he is certain to feel that what happened just now was very strange.
刚才,剛才,gāng cái,"just now
a moment ago",一定会觉得刚才的事情很奇怪。,一定會覺得剛才的事情很奇怪。,yí dìng huì jué de gāng cái de shì qing hěn qí guài 。,.. he is certain to feel that what happened just now was very strange.
一边,一邊,yì biān,"on the one hand
doing while",曹操一边笑着和董卓走到门外，一边在心里想着：,曹操一邊笑著和董卓走到門外，一邊在心裡想著：,cáo cāo yì biān xiào zhe hé dǒng zhuó zǒu dào mén wài ， yì biān zài xīn li xiǎng zhe ：,"Cao Cao smiled as he walked out of the door with Dong Zhuo, whilst thinking to himself, .."
着急,著急,zháo jí,"to worry
to feel anxious",曹操在心里对自己说：“别着急！不要怕！”,曹操在心裡對自己說：“別著急！不要怕！”,cáo cāo zài xīn li duì zì jǐ shuō ： “ bié zháo jí ！ bú yào pà ！”,"Cao Cao said to himself, “Don’t worry! Don’t be afraid!”"
谁知,誰知,shéi zhī,"lit. who knows
who would have thought
unexpectedly",谁知，董卓突然起床了。他看到曹操的刀，大声问道：“你在干什么？”,誰知，董卓突然起床了。他看到曹操的刀，大聲問道：“你在幹什麼？”,shéi zhī ， dǒng zhuó tū rán qǐ chuáng le 。 tā kàn dào cáo cāo de dāo ， dà shēng wèn dào ： “ nǐ zài gàn shén me ？”,"Unexpectedly, Dong Zhuo suddenly got out of bed. He saw Cao Cao’s sword and loudly asked, “What are you doing?”"
越来越,越來越,yuè lái yuè,more and more,曹操慢慢地，很小心地走近董卓。近了，更近了！他的心跳得越来越快。,曹操慢慢地，很小心地走近董卓。近了，更近了！他的心跳得越來越快。,cáo cāo màn man de ， hěn xiǎo xīn de zǒu jìn dǒng zhuó 。 jìn le ， gèng jìn le ！ tā de xīn tiào de yuè lái yuè kuài 。,"Cao Cao slowly, and very carefully, approached Dong Zhuo. He got closer and closer! His heart beat faster and faster."
小心,小心,xiǎo xīn,to be careful,曹操慢慢地，很小心地走近董卓。近了，更近了！他的心跳得越来越快。,曹操慢慢地，很小心地走近董卓。近了，更近了！他的心跳得越來越快。,cáo cāo màn man de ， hěn xiǎo xīn de zǒu jìn dǒng zhuó 。 jìn le ， gèng jìn le ！ tā de xīn tiào de yuè lái yuè kuài 。,"Cao Cao slowly, and very carefully, approached Dong Zhuo. He got closer and closer! His heart beat faster and faster."
回答,回答,huí dá,"to reply
to answer",曹操回答好的，就出去了。,曹操回答好的，就出去了。,cáo cāo huí dá hǎo de ， jiù chū qù le 。,Cao Cao answered OK and went out.
放在心上,放在心上,fàng zài xīn shàng,"to care about
to take seriously
to take to heart",“没关系！”董卓没放在心上。,“沒關係！”董卓沒放在心上。,“ méi guān xi ！” dǒng zhuó méi fàng zài xīn shàng 。,“Never mind!” Dong Zhuo didn’t take it to heart.
以前,以前,yǐ qián,"before
formerly",只是和他点点头，觉得他和以前一样。,只是和他點點頭，覺得他和以前一樣。,zhǐ shì hé tā diǎn diǎn tóu ， jué de tā hé yǐ qián yí yàng 。,.. they just nodded at him and thought that he was the same as before.
点点头,點點頭,diǎn diǎn tóu,to nod,只是和他点点头，觉得他和以前一样。,只是和他點點頭，覺得他和以前一樣。,zhǐ shì hé tā diǎn diǎn tóu ， jué de tā hé yǐ qián yí yàng 。,.. they just nodded at him and thought that he was the same as before.
手下,手下,shǒu xià,"under one's control or administration
subordinates",所以董卓的手下看到曹操来，,所以董卓的手下看到曹操來，,suǒ yǐ dǒng zhuó de shǒu xià kàn dào cáo cāo lái ，,"So when Dong Zhuo’s subordinates saw Cao Cao arriving, .."
决定,決定,jué dìng,to decide,“你一定可以！”他对自己点点头，好像做了一个很大的决定。,“你一定可以！”他對自己點點頭，好像做了一個很大的決定。,“ nǐ yí dìng kě yǐ ！” tā duì zì jǐ diǎn diǎn tóu ， hǎo xiàng zuò le yí ge hěn dà de jué dìng 。,".. “Sure you can!” He nodded to himself, as if he had made a very big decision."
变,變,biàn,"to become
to change",他放下刀，走到门外，看着天：明天以后，这个国家会变吗？,他放下刀，走到門外，看著天：明天以後，這個國家會變嗎？,tā fàng xià dāo ， zǒu dào mén wài ， kàn zhe tiān ： míng tiān yǐ hòu ， zhè ge guó jiā huì biàn ma ？,"He put down the sword, walked outside, and looked at the sky. Would this country change after tomorrow?"
以后,以後,yǐ hòu,"afterwards
in the future",他放下刀，走到门外，看着天：明天以后，这个国家会变吗？,他放下刀，走到門外，看著天：明天以後，這個國家會變嗎？,tā fàng xià dāo ， zǒu dào mén wài ， kàn zhe tiān ： míng tiān yǐ hòu ， zhè ge guó jiā huì biàn ma ？,"He put down the sword, walked outside, and looked at the sky. Would this country change after tomorrow?"
放下,放下,fàng xià,to put down,他放下刀，走到门外，看着天：明天以后，这个国家会变吗？,他放下刀，走到門外，看著天：明天以後，這個國家會變嗎？,tā fàng xià dāo ， zǒu dào mén wài ， kàn zhe tiān ： míng tiān yǐ hòu ， zhè ge guó jiā huì biàn ma ？,"He put down the sword, walked outside, and looked at the sky. Would this country change after tomorrow?"
桌子,桌子,zhuō zi,table,曹操坐在房间里，桌子上有一把刀。他好像又听到了大家的声音：,曹操坐在房間裡，桌子上有一把刀。他好像又聽到了大家的聲音：,cáo cāo zuò zài fáng jiān lǐ ， zhuō zi shang yǒu yì bǎ dāo 。 tā hǎo xiàng yòu tīng dào le dà jiā de shēng yīn ：,"Cao Cao sat in his room, with the sword on the table. It was as if he could hear everyone’s voices again, .."
努力,努力,nǔ lì,"great effort
to strive
to try hard",“放心吧！为了我们的国家，我会努力的！”,“放心吧！為了我們的國家，我會努力的！”,“ fàng xīn ba ！ wèi le wǒ men de guó jiā ， wǒ huì nǔ lì de ！”,.. “Rest assured! I will work very hard for the sake of our country!”
放心,放心,fàng xīn,"to feel relieved
to feel reassured
to be at ease",“放心吧！为了我们的国家，我会努力的！”,“放心吧！為了我們的國家，我會努力的！”,“ fàng xīn ba ！ wèi le wǒ men de guó jiā ， wǒ huì nǔ lì de ！”,.. “Rest assured! I will work very hard for the sake of our country!”
干杯,乾杯,gān bēi,"Cheers! (proposing a toast)
to drink a toast
lit. dry cup",“这杯酒给您！我们干杯！为了我们的国家，请您一定要杀了董卓！”,“這杯酒給您！我們乾杯！為了我們的國家，請您一定要殺了董卓！”,“ zhè bēi jiǔ gěi nín ！ wǒ men gān bēi ！ wèi le wǒ men de guó jiā ， qǐng nín yí dìng yào shā le dǒng zhuó ！”,".. “We drink to you! Cheers! For the sake of our country, you must kill Dong Zhuo!”"
认真,認真,rèn zhēn,"conscientious
earnest
serious",自己也拿起一杯酒，很认真地说：,自己也拿起一杯酒，很認真地說：,zì jǐ yě ná qǐ yì bēi jiǔ ， hěn rèn zhēn de shuō ：,"He raised a cup of wine of his own, and said very earnestly, .."
机会,機會,jī huì,"opportunity
chance",“我现在每天都在董卓身边工作，一定可以找到机会杀他。”,“我現在每天都在董卓身邊工作，一定可以找到機會殺他。”,“ wǒ xiàn zài měi tiān dōu zài dǒng zhuó shēn biān gōng zuò ， yí dìng kě yǐ zhǎo dào jī huì shā tā 。”,"“Right now, I am working at Dong Zhuo’s side every day, and can definitely find an opportunity to kill him.”"
您,您,nín,you (courteous),曹操看向高运，“听说您有一把好刀，能不能给我呢？”,曹操看向高運，“聽說您有一把好刀，能不能給我呢？”,cáo cāo kàn xiàng gāo yùn ， “ tīng shuō nín yǒu yì bǎ hǎo dāo ， néng bù néng gěi wǒ ne ？”,"Cao Cao looked at Gao Yun, “I’ve heard that you have a good sword. Can you give it to me?”"
愿意,願意,yuàn yì,"willing (to do sth)
to wish
to want",曹操喝了一杯酒，站起来说道，“我愿意去杀董卓！”,曹操喝了一杯酒，站起來說道，“我願意去殺董卓！”,cáo cāo hē le yì bēi jiǔ ， zhàn qi lai shuō dào ， “ wǒ yuàn yì qù shā dǒng zhuó ！”,"Cao Cao drank a cup of wine, stood up, and said, “I’m willing to kill Dong Zhuo!”"
向,向,xiàng,"towards
to face",高运看向曹操：,高運看向曹操：,gāo yùn kàn xiàng cáo cāo ：,"Gao Yun looked at Cao Cao, .."
刀,刀,dāo,"knife
blade
single-edged sword",曹操得刀,曹操得刀,cáo cāo dé dāo,Cao Cao Gets a Sword
走近,走近,zǒu jìn,"to approach
to draw near to",我们都不能走近董卓，谁能杀他呢？”,我們都不能走近董卓，誰能殺他呢？”,wǒ men dōu bù néng zǒu jìn dǒng zhuó ， shéi néng shā tā ne ？”,None of us can get close to Dong Zhuo. Who would be able to kill him?”
大将军,大將軍,dà jiāng jūn,"important general
generalissimo",董卓那么厉害，而且他身边还有吕布，他的大将军。,董卓那麼厲害，而且他身邊還有呂布，他的大將軍。,dǒng zhuó nà me lì hai ， ér qiě tā shēn biān hái yǒu lǚ bù ， tā de dà jiāng jūn 。,"Dong Zhuo is so formidable, and he also has his generalissimo Lü Bu beside him."
吕布,呂布,lǚ bù,"Lü Bu (-198), general and warlord",董卓那么厉害，而且他身边还有吕布，他的大将军。,董卓那麼厲害，而且他身邊還有呂布，他的大將軍。,dǒng zhuó nà me lì hai ， ér qiě tā shēn biān hái yǒu lǚ bù ， tā de dà jiāng jūn 。,"Dong Zhuo is so formidable, and he also has his generalissimo Lü Bu beside him."
厉害,厲害,lì hai,"formidable
tremendous
awesome",董卓那么厉害，而且他身边还有吕布，他的大将军。,董卓那麼厲害，而且他身邊還有呂布，他的大將軍。,dǒng zhuó nà me lì hai ， ér qiě tā shēn biān hái yǒu lǚ bù ， tā de dà jiāng jūn 。,"Dong Zhuo is so formidable, and he also has his generalissimo Lü Bu beside him."
被,被,bèi,"by
(indicates passive-voice clauses)",“你小声点！被董卓听见，你就完了！”,“你小聲點！被董卓聽見，你就完了！”,“ nǐ xiǎo shēng diǎn ！ bèi dǒng zhuó tīng jiàn ， nǐ jiù wán le ！”,“Lower your voice! You’re finished if Dong Zhuo hears about this!”
为了,為了,wèi le,"for
for the sake of
in order to",“为了我们的国家，让我们想办法杀了董卓吧！”,“為了我們的國家，讓我們想辦法殺了董卓吧！”,“ wèi le wǒ men de guó jiā ， ràng wǒ men xiǎng bàn fǎ shā le dǒng zhuó ba ！”,"..  “For the sake of our country, let’s think of a way to kill Dong Zhuo!”"
站,站,zhàn,to stand,高运看到大家都不喜欢董卓，就站起来，大声地说道：,高運看到大家都不喜歡董卓，就站起來，大聲地說道：,gāo yùn kàn dào dà jiā dōu bù xǐ huan dǒng zhuó ， jiù zhàn qi lai ， dà shēng de shuō dào ：,"Gao Yun saw that everyone disliked Dong Zhuo, so he stood up and said loudly, .."
军队,軍隊,jūn duì,"army
troops",董卓有那么多军队，大家都怕他，皇帝也怕他。,董卓有那麼多軍隊，大家都怕他，皇帝也怕他。,dǒng zhuó yǒu nà me duō jūn duì ， dà jiā dōu pà tā ， huáng dì yě pà tā 。,Dong Zhuo has so many troops. Everyone is afraid of him. The emperor is also afraid of him.
董卓,董卓,dǒng zhuó,"Dong Zhuo (-192), top general of late Han",董卓那么坏，我们国家就要完了。我们国家完了，我们就不会快乐了。”,董卓那麼壞，我們國家就要完了。我們國家完了，我們就不會快樂了。”,dǒng zhuó nà me huài ， wǒ men guó jiā jiù yào wán le 。 wǒ men guó jiā wán le ， wǒ men jiù bú huì kuài lè le 。”,"Dong Zhuo is so evil. Our country will be finished. When our country is finished, we won’t be happy.”"
难过,難過,nán guò,"to feel sad
to feel unwell
(of life) to be difficult",高运看着大家，很难过地说：“我哭，是因为我觉得我们快乐的时间就要没有了。,高運看著大家，很難過地說：“我哭，是因為我覺得我們快樂的時間就要沒有了。,gāo yùn kàn zhe dà jiā ， hěn nán guò de shuō ： “ wǒ kū ， shì yīn wèi wǒ jué de wǒ men kuài lè de shí jiān jiù yào méi yǒu le 。,"Gao Yun looked at everyone and said unhappily, “I cry because I think that our happy times are going to be over."
问道,問道,wèn dào,"to ask the way
to ask",大家忙问道：“你怎么了？大家现在那么快乐，你为什么要哭呢？”,大家忙問道：“你怎麼了？大家現在那麼快樂，你為什麼要哭呢？”,dà jiā máng wèn dào ： “ nǐ zěn me le ？ dà jiā xiàn zài nà me kuài lè ， nǐ wèi shén me yào kū ne ？”,"Everyone hurriedly asked, “What’s up with you? We’re all so happy right now, why are you crying?”"
忙,忙,máng,hurriedly,大家忙问道：“你怎么了？大家现在那么快乐，你为什么要哭呢？”,大家忙問道：“你怎麼了？大家現在那麼快樂，你為什麼要哭呢？”,dà jiā máng wèn dào ： “ nǐ zěn me le ？ dà jiā xiàn zài nà me kuài lè ， nǐ wèi shén me yào kū ne ？”,"Everyone hurriedly asked, “What’s up with you? We’re all so happy right now, why are you crying?”"
正在,正在,zhèng zài,in the process of (doing something or happening),大家喝了很多酒，正在高兴的时候，高运突然哭了。,大家喝了很多酒，正在高興的時候，高運突然哭了。,dà jiā hē le hěn duō jiǔ ， zhèng zài gāo xìng de shí hou ， gāo yùn tū rán kū le 。,"Everyone drank a lot. When everyone was in high spirits, Gao Yun suddenly started crying."
当然,當然,dāng rán,"certainly
of course",当然，曹操也是。,當然，曹操也是。,dāng rán ， cáo cāo yě shì 。,"Of course, so did Cao Cao."
工作,工作,gōng zuò,"job
work",也都是为皇帝工作的人。,也都是為皇帝工作的人。,yě dōu shì wèi huáng dì gōng zuò de rén 。,.. and they all also worked for the emperor.
重要,重要,zhòng yào,important,高运是皇帝身边非常重要的人，,高運是皇帝身邊非常重要的人，,gāo yùn shì huáng dì shēn biān fēi cháng zhòng yào de rén ，,Gao Yun was a very important person close to the emperor.
皇帝,皇帝,huáng dì,emperor,高运是皇帝身边非常重要的人，,高運是皇帝身邊非常重要的人，,gāo yùn shì huáng dì shēn biān fēi cháng zhòng yào de rén ，,Gao Yun was a very important person close to the emperor.
重,重,zhòng,heavy,突然觉得手上的刀变得很重很重。,突然覺得手上的刀變得很重很重。,tū rán jué de shǒu shang de dāo biàn de hěn zhòng hěn zhòng 。,".. and suddenly felt that the sword in his hand had become very, very heavy."
变得,變得,biàn de,to become,突然觉得手上的刀变得很重很重。,突然覺得手上的刀變得很重很重。,tū rán jué de shǒu shang de dāo biàn de hěn zhòng hěn zhòng 。,".. and suddenly felt that the sword in his hand had become very, very heavy."
突然,突然,tū rán,"suddenly
abruptly",突然觉得手上的刀变得很重很重。,突然覺得手上的刀變得很重很重。,tū rán jué de shǒu shang de dāo biàn de hěn zhòng hěn zhòng 。,".. and suddenly felt that the sword in his hand had become very, very heavy."
杀,殺,shā,"to kill
to murder",他手里拿着刀，好像听到一个声音在说：“请您一定要杀了他！”……,他手裡拿著刀，好像聽到一個聲音在說：“請您一定要殺了他！”……,tā shǒu lǐ ná zhe dāo ， hǎo xiàng tīng dào yí ge shēng yīn zài shuō ： “ qǐng nín yí dìng yào shā le tā ！”……,"He held a sword in his hand, as if he heard a voice that said, “You must kill him!” …"
声音,聲音,shēng yīn,"sound
voice",他手里拿着刀，好像听到一个声音在说：“请您一定要杀了他！”……,他手裡拿著刀，好像聽到一個聲音在說：“請您一定要殺了他！”……,tā shǒu lǐ ná zhe dāo ， hǎo xiàng tīng dào yí ge shēng yīn zài shuō ： “ qǐng nín yí dìng yào shā le tā ！”……,"He held a sword in his hand, as if he heard a voice that said, “You must kill him!” …"
曹操,曹操,cáo cāo,"Cao Cao (155-220), famous statesman and general at the end of Han",从高运家回来，很晚了，曹操还没有睡。,從高運家回來，很晚了，曹操還沒有睡。,cóng gāo yùn jiā huí lái ， hěn wǎn le ， cáo cāo hái méi yǒu shuì 。,"It was very late when he came back from Gao Yun’s house, and Cao Cao still hadn’t slept."
请客,請客,qǐng kè,"to give a dinner party
to entertain guests
to invite to dinner",高运请客,高運請客,gāo yùn qǐng kè,Gao Yun Entertains Guests
白天,白天,bái tiān,daytime,白天和晚上都有人在这儿赌钱。,白天和晚上都有人在這兒賭錢。,bái tiān hé wǎn shang dōu yǒu rén zài zhè‘r dǔ qián 。,There are people gambling here day and night.
海上,海上,hǎi shàng,"maritime
at sea",九号大街有一个商店，虽然门口写着“海上书店”，但里面是一家赌场。,九號大街有一個商店，雖然門口寫著“海上書店”，但裡面是一家賭場。,jiǔ hào dà jiē yǒu yí ge shāng diàn ， suī rán mén kǒu xiě zhe “ hǎi shàng shū diàn ” ， dàn lǐ miàn shì yì jiā dǔ chǎng 。,"There is a store on Ninth Street. Although “Seaside Bookstore” is written at the door, it’s actually a casino inside."
抓,抓,zhuā,"to arrest
to catch",昨晚他们去九号大街抓赌钱的人去了，但一个人也没抓到。,昨晚他們去九號大街抓賭錢的人去了，但一個人也沒抓到。,zuó wǎn tā men qù jiǔ hào dà jiē zhuā dǔ qián de rén qù le ， dàn yí ge rén yě méi zhuā dào 。,"Last night, they went to Ninth Street to catch people gambling, but they didn’t catch a single person."
赌钱,賭錢,dǔ qián,to gamble,昨晚他们去九号大街抓赌钱的人去了，但一个人也没抓到。,昨晚他們去九號大街抓賭錢的人去了，但一個人也沒抓到。,zuó wǎn tā men qù jiǔ hào dà jiē zhuā dǔ qián de rén qù le ， dàn yí ge rén yě méi zhuā dào 。,"Last night, they went to Ninth Street to catch people gambling, but they didn’t catch a single person."
大街,大街,dà jiē,"street
main street",昨晚他们去九号大街抓赌钱的人去了，但一个人也没抓到。,昨晚他們去九號大街抓賭錢的人去了，但一個人也沒抓到。,zuó wǎn tā men qù jiǔ hào dà jiē zhuā dǔ qián de rén qù le ， dàn yí ge rén yě méi zhuā dào 。,"Last night, they went to Ninth Street to catch people gambling, but they didn’t catch a single person."
看上去,看上去,kàn shàng qù,"it would appear
it seems (that)",他们红着眼睛，看上去很累。,他們紅著眼睛，看上去很累。,tā men hóng zhe yǎn jing ， kàn shàng qù hěn lèi 。,"Their eyes were red, and they looked very tired."
警察局,警察局,jǐng chá jú,"police station
police department",这里是阳浦警察局，现在是早上六点。,這裡是楊浦警察局，現在是早上六點。,zhè lǐ shì yáng pǔ jǐng chá jú ， xiàn zài shì zǎo shang liù diǎn 。,This is Yangpu Police Station. It is 6 o’clock in the morning.
阳浦,楊浦,yáng pǔ,Yangpu (district in Shanghai),这里是阳浦警察局，现在是早上六点。,這裡是楊浦警察局，現在是早上六點。,zhè lǐ shì yáng pǔ jǐng chá jú ， xiàn zài shì zǎo shang liù diǎn 。,This is Yangpu Police Station. It is 6 o’clock in the morning.
赌场,賭場,dǔ chǎng,casino,一、书店是赌场,一、書店是賭場,yī 、 shū diàn shì dǔ chǎng,(1) The Bookstore is a Casino
登机牌,登機牌,dēng jī pái,boarding pass,服务员：能看一下您的登机牌和护照吗？,服務員：能看一下您的登機牌和護照嗎？,fú wù yuán ： néng kàn yí xià nín de dēng jī pái hé hù zhào ma ？,Clerk: Can I see your boarding pass and passport?
现金,現金,xiàn jīn,cash,服务员：好的。请问您用现金还是刷卡？,服務員：好的。請問您用現金還是刷卡？,fú wù yuán ： hǎo de 。 qǐng wèn nín yòng xiàn jīn hái shi shuā kǎ ？,Clerk: Sure. Will you use cash or card?
茶叶,茶葉,chá yè,"tea
tea leaves",爱米：你好，这茶叶多少钱？,愛米：你好，這茶葉多少錢？,ài mǐ ： nǐ hǎo ， zhè chá yè duō shao qián ？,"Amy: Hello, how much is this tea?"
免税店,免稅店,miǎn shuì diàn,"duty-free store
duty-free shop",在机场免税店买东西,在機場免稅店買東西,zài jī chǎng miǎn shuì diàn mǎi dōng xi,Shopping at the Airport Duty-Free Shop
下次,下次,xià cì,next time,前台：不客气！谢谢您入住北京大饭店，欢迎下次再来！,前臺：不客氣！謝謝您入住北京大飯店，歡迎下次再來！,qián tái ： bú kè qi ！ xiè xie nín rù zhù běi jīng dà fàn diàn ， huān yíng xià cì zài lái ！,Front desk: You’re welcome! Thank you for staying at the Beijing Hotel. You are welcome to come again.
退房,退房,tuì fáng,to check out of a hotel room,我想退房,我想退房,wǒ xiǎng tuì fáng,I Want to Check Out
账单,帳單,zhàng dān,"bill
check",爱米：服务员，你好。这是我的账单和钱。多的是给你的小费。,愛米：服務員，你好。這是我的帳單和錢。多的是給你的小費。,ài mǐ ： fú wù yuán ， nǐ hǎo 。 zhè shì wǒ de zhàng dān hé qián 。 duō de shì gěi nǐ de xiǎo fèi 。,"Amy: Hello, waiter. This is my check and money. The extra is your tip."
小费,小費,xiǎo fèi,"tip
gratuity",要不要给小费？,要不要給小費？,yào bú yào gěi xiǎo fèi ？,Should I Tip?
马上,馬上,mǎ shàng,"at once
right away
immediately",服务员：好的。马上就来。,服務員：好的。馬上就來。,fú wù yuán ： hǎo de 。 mǎ shàng jiù lái 。,"Waiter: Okay, I’ll get that immediately."
热水,熱水,rè shuǐ,hot water,服务员：不好意思，我们只有热水。,服務員：不好意思，我們只有熱水。,fú wù yuán ： bù hǎo yì si ， wǒ men zhǐ yǒu rè shuǐ 。,"Waiter: Sorry, we only have hot water."
宫保鸡丁,宮保雞丁,gōng bǎo jī dīng,Kung Pao chicken,如果您喜欢吃辣，我们店的宫保鸡丁也很不错。,如果您喜歡吃辣，我們店的宮保雞丁也很不錯。,rú guǒ nín xǐ huan chī là ， wǒ men diàn de gōng bǎo jī dīng yě hěn bú cuò 。,"If you like spicy food, our Kung Pao chicken is also very good."
